Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2010/2011,HI,Volleyball,64,68,1319,1925
2010/2011,ID,Volleyball,0,141,0,3516
2010/2011,IL,Volleyball,176,685,6091,22400
2010/2011,IN,Volleyball,0,397,0,10557
2010/2011,IA,Volleyball,0,381,0,12138
2010/2011,KS,Volleyball,0,344,0,8761
2010/2011,KY,Volleyball,0,236,0,5452
2010/2011,LA,Volleyball,0,193,0,3887
2010/2011,ME,Volleyball,6,24,56,529
2010/2011,MD,Volleyball,34,186,631,4948
2010/2011,MA,Volleyball,96,277,2256,7777
2010/2011,MI,Volleyball,0,713,0,20260
2010/2011,MN,Volleyball,0,451,0,14910
2010/2011,MS,Volleyball,0,82,0,2088
2010/2011,MO,Volleyball,40,426,1078,9467
2010/2011,MT,Volleyball,0,172,0,3605
2010/2011,NE,Volleyball,0,308,0,7226
2010/2011,NV,Volleyball,32,100,971,2899
2010/2011,NH,Volleyball,13,59,238,1639
2010/2011,NJ,Volleyball,101,253,2439,6506
2010/2011,NM,Volleyball,0,149,0,3994
2010/2011,NY,Volleyball,187,628,4334,16350
2010/2011,NC,Volleyball,0,387,0,8821
2010/2011,ND,Volleyball,0,157,0,3249
2010/2011,OH,Volleyball,111,805,2672,19002
2010/2011,OK,Volleyball,0,121,0,2300
2010/2011,OR,Volleyball,0,281,0,6989
2010/2011,PA,Volleyball,210,589,3780,10602
2010/2011,RI,Volleyball,26,40,975,541
2010/2011,SC,Volleyball,0,197,0,4576
2010/2011,SD,Volleyball,0,170,0,3776
2010/2011,TN,Volleyball,0,301,0,6001
2010/2011,TX,Volleyball,0,1194,0,40973
2010/2011,UT,Volleyball,0,124,0,2302
2010/2011,VT,Volleyball,1,2,10,24
2010/2011,VA,Volleyball,65,299,1167,7719
2010/2011,WA,Volleyball,0,361,0,10283
2010/2011,WV,Volleyball,0,122,0,2336
2010/2011,WI,Volleyball,50,476,1376,15751
2010/2011,WY,Volleyball,0,68,0,1831
2009/2010,AL,Volleyball,0,352,0,5454
2009/2010,AK,Volleyball,1,69,3,1677
2009/2010,AZ,Volleyball,53,238,1519,8128
2009/2010,AR,Volleyball,0,122,0,2572
2009/2010,CA,Volleyball,625,1243,15638,38920
2009/2010,CO,Volleyball,0,327,0,8543
2009/2010,CT,Volleyball,46,158,842,4465
2009/2010,DC,Volleyball,0,12,0,148
2009/2010,DE,Volleyball,6,47,120,1322
2009/2010,FL,Volleyball,124,599,2136,12536
2009/2010,GA,Volleyball,2,280,13,6613
2009/2010,HI,Volleyball,65,72,1265,1901
2009/2010,ID,Volleyball,0,150,0,3878
2009/2010,IL,Volleyball,205,710,7033,21843
2009/2010,IN,Volleyball,0,398,0,10596
2009/2010,IA,Volleyball,0,380,0,12434
2009/2010,KS,Volleyball,0,348,0,8710
2009/2010,KY,Volleyball,0,236,0,5452
2009/2010,LA,Volleyball,0,189,0,3406
2009/2010,ME,Volleyball,7,25,129,571
2009/2010,MD,Volleyball,34,180,670,3723
2009/2010,MA,Volleyball,100,271,2235,7514
2009/2010,MI,Volleyball,0,711,0,20190
2009/2010,MN,Volleyball,0,452,0,14271
2009/2010,MS,Volleyball,0,82,0,2088
2009/2010,MO,Volleyball,38,432,1061,10211
2009/2010,MT,Volleyball,0,171,0,3631
2009/2010,NE,Volleyball,0,309,0,7472
2009/2010,NV,Volleyball,31,100,920,2620
2009/2010,NH,Volleyball,9,27,174,1595
2009/2010,NJ,Volleyball,100,255,2329,7064
2009/2010,NM,Volleyball,0,149,0,3994
2009/2010,NY,Volleyball,180,629,4349,15875
2009/2010,NC,Volleyball,0,377,0,8599
2009/2010,ND,Volleyball,0,159,0,3193
2009/2010,OH,Volleyball,119,804,2857,18204
2009/2010,OK,Volleyball,0,121,0,2420
2009/2010,OR,Volleyball,0,281,0,7068
2009/2010,PA,Volleyball,202,586,3636,10548
2009/2010,RI,Volleyball,26,40,967,544
2009/2010,SC,Volleyball,0,192,0,4444
2009/2010,SD,Volleyball,0,165,0,3795
2009/2010,TN,Volleyball,0,307,0,5821
2009/2010,TX,Volleyball,0,1194,0,39428
2009/2010,UT,Volleyball,0,124,0,2769
2009/2010,VT,Volleyball,1,2,6,25
2009/2010,VA,Volleyball,64,300,1167,7675
2009/2010,WA,Volleyball,0,344,0,10207
2009/2010,WV,Volleyball,0,121,0,2306
2009/2010,WI,Volleyball,51,471,1398,15746
2009/2010,WY,Volleyball,0,71,0,1776
2008/2009,AL,Volleyball,0,356,0,5516
2008/2009,AK,Volleyball,0,59,0,1503
2008/2009,AZ,Volleyball,55,239,1358,2156
2008/2009,AR,Volleyball,0,118,0,2536
2008/2009,CA,Volleyball,625,1243,15638,38920
2008/2009,CO,Volleyball,0,320,0,9061
2008/2009,CT,Volleyball,40,153,852,4309
2008/2009,DC,Volleyball,0,12,0,148
2008/2009,DE,Volleyball,5,46,113,1323
2008/2009,FL,Volleyball,130,598,2071,12725
2008/2009,GA,Volleyball,0,259,0,5875
2008/2009,HI,Volleyball,60,71,1196,1859
2008/2009,ID,Volleyball,0,150,0,3954
2008/2009,IL,Volleyball,202,708,7235,21876
2008/2009,IN,Volleyball,0,399,0,10629
2008/2009,IA,Volleyball,0,383,0,17714
2008/2009,KS,Volleyball,0,353,0,8849
2008/2009,KY,Volleyball,0,236,0,5452
2008/2009,LA,Volleyball,0,186,0,3390
2008/2009,ME,Volleyball,9,27,105,550
2008/2009,MD,Volleyball,33,181,623,4676
2008/2009,MA,Volleyball,88,267,2109,7247
2008/2009,MI,Volleyball,0,712,0,20789
2008/2009,MN,Volleyball,0,446,0,15552
2008/2009,MS,Volleyball,0,81,0,2063
2008/2009,MO,Volleyball,38,424,1124,11651
2008/2009,MT,Volleyball,0,175,0,3725
2008/2009,NE,Volleyball,0,309,20,7555
2008/2009,NV,Volleyball,31,100,920,2620
2008/2009,NH,Volleyball,9,57,205,1533
2008/2009,NJ,Volleyball,245,245,2331,7196
2008/2009,NM,Volleyball,0,152,0,4023
2008/2009,NY,Volleyball,180,629,4349,15875
2008/2009,NC,Volleyball,0,377,0,8599
2008/2009,ND,Volleyball,0,157,0,3289
2008/2009,OH,Volleyball,93,805,2218,18672
2008/2009,OK,Volleyball,0,80,0,1100
2008/2009,OR,Volleyball,0,286,0,7184
2008/2009,PA,Volleyball,202,580,3636,10440
2008/2009,RI,Volleyball,25,40,558,969
2008/2009,SC,Volleyball,0,187,0,4279
2008/2009,SD,Volleyball,0,163,0,3891
2008/2009,TN,Volleyball,0,301,0,5785
2008/2009,TX,Volleyball,0,1031,0,38367
2008/2009,UT,Volleyball,0,119,0,2864
2008/2009,VT,Volleyball,1,2,8,28
2008/2009,VA,Volleyball,69,297,1206,7370
2008/2009,WA,Volleyball,0,325,0,9255
2008/2009,WV,Volleyball,0,84,0,1621
2008/2009,WI,Volleyball,52,472,1471,15899
2008/2009,WY,Volleyball,0,69,0,1781
2007/2008,AL,Volleyball,0,345,0,5346
2007/2008,AK,Volleyball,4,75,28,1722
2007/2008,AZ,Volleyball,55,239,1358,2156
2007/2008,AR,Volleyball,0,123,0,2676
2007/2008,CA,Volleyball,619,1231,14532,36499
2007/2008,CO,Volleyball,16,322,361,8918
2007/2008,CT,Volleyball,37,154,724,4340
2007/2008,DC,Volleyball,0,12,0,148
2007/2008,DE,Volleyball,5,43,101,1206
2007/2008,FL,Volleyball,118,579,1709,12724
